,UID,PID,PURCHASE_Time
0,431,8374,2013-01-19
1,2925,8374,2013-01-04
2,18864,8374,2014-04-27
3,7386,8374,2014-03-31
4,16467,8374,2014-05-03
5,36352,8374,2012-12-23
6,7184,8374,2013-11-10
7,16267,8374,2014-01-02
8,21870,8374,2011-11-12
9,33878,8374,2013-07-01
10,16619,8374,2014-03-20
11,35824,8374,2013-04-27
12,32964,8374,2014-05-12
13,1548,8374,2013-01-30
14,22896,8374,2012-10-24
15,12380,8374,2013-01-19
16,17609,8374,2013-04-10
17,17001,8269,2014-01-19
18,30519,8269,2012-09-24
19,11490,8269,2014-05-12
20,13633,8269,2013-12-27
21,34010,2503,2011-12-04
22,24134,2503,2010-09-21
23,27624,2503,2011-06-16
24,27211,2503,2012-09-21
25,21553,2503,2010-09-18
26,4844,2503,2010-10-19
27,6375,2503,2011-05-18
28,37901,2503,2011-05-19
29,15378,2503,2010-09-11
30,26027,2503,2010-11-18
31,113,2503,2012-02-11
32,26419,16694,2011-05-21
33,29583,16694,2013-05-13
34,33357,16694,2013-04-05
35,4425,16694,2011-02-24
36,9403,16694,2011-03-04
37,35864,16694,2011-03-02
38,4844,16694,2011-03-10
39,15274,16694,2012-05-16
40,25627,16694,2011-04-19
41,33469,16694,2011-02-23
42,14442,16694,2011-06-29
43,3676,17236,2013-11-06
44,20232,17236,2013-10-30
45,20756,17236,2012-12-19
46,13557,19503,2011-04-25
47,20906,19503,2013-12-26
48,27812,19503,2010-09-28
49,35002,19503,2013-11-04
50,23724,19503,2013-09-19
51,8666,19503,2013-10-07
52,24328,6140,2013-04-14
53,6222,6140,2014-07-02
54,32375,6140,2010-06-30
55,26758,6140,2011-10-28
56,29002,6140,2013-01-06
57,3150,6140,2011-03-01
58,14424,6140,2011-03-06
59,11596,6140,2013-12-24
60,16922,6144,2012-04-23
61,28983,6144,2011-12-12
62,12537,6144,2013-08-04
63,1630,6144,2009-05-25
64,29693,6144,2012-10-23
65,23548,6144,2012-08-16
66,29441,6144,2014-03-01
67,13702,6144,2013-12-04
68,10973,6144,2012-05-08
69,34099,6144,2013-10-31
70,38213,6144,2014-01-02
71,18730,6144,2012-10-06
72,29684,6144,2014-02-19
73,25707,6144,2012-12-09
74,13907,6144,2013-03-04
75,34584,6144,2014-03-20
76,34474,6144,2013-09-05
77,6393,6144,2014-03-06
78,11533,6144,2013-07-14
79,6618,6144,2013-09-10
80,31041,6144,2013-02-27
81,19484,14600,2013-11-21
82,29970,14600,2010-08-11
83,21229,14600,2012-05-15
84,31282,14600,2008-11-09
85,7979,14600,2014-03-05
86,10881,14600,2013-12-23
87,12220,14600,2013-03-04
88,8683,14600,2012-12-19
89,22941,14600,2012-02-27
90,17933,14600,2012-08-04
91,24947,14600,2011-05-15
92,9310,12627,2013-10-15
93,3676,12627,2013-11-06
94,32497,12627,2013-11-30
95,3943,12627,2014-03-08
96,24557,12627,2013-01-09
97,20232,12627,2013-11-27
98,7346,12627,2011-11-06
99,18415,12627,2014-02-11
100,32832,12627,2013-01-15
101,22870,12627,2013-01-06
102,4677,12627,2014-01-15
103,31654,22978,2012-12-03
104,14114,22978,2006-04-02
105,16649,22978,2014-05-05
106,735,22978,2007-04-03
107,17054,22978,2012-11-23
108,8758,22978,2013-11-05
